Column	key	total_citesOrg	URL_Citaciones	Actualizaciones	Incremento_Actualizacion	Cambios_Datos	Indexacion_MesAnterior	IPT	numberOfRecords	nombrecorto	type	organization	title	DOI_URL	created	year	month	day	modified	year-mod	month-mod	day-mod	version	NombreCorto_Org	Logo	typeOrg	publishingOrganizationKey	URLSocio
2190	16a22a5e-9f2a-498b-8178-a410c99a5a8c	266	https://www.gbif.org/resource/search?contentType=literature&publishingOrganizationKey=fe602f47-b553-4291-b6e5-197b9837e167		0.0	1	8007.0	sib	8007.0	fnc_aves_biodiversidad_sector_cafetero_2	Registros biologicos	Federación Nacional de Cafeteros de Colombia	"Segunda caracterización biológica de aves del proyecto ""Incorporación de la Biodiversidad en el sector cafetero en Colombia"""	http://doi.org/10.15472/5e9jiq	2013-03-14	2013	03	14	2021-01-27	2021	01	27	8.2	Cafeteros de Colombia	https://raw.githubusercontent.com/SIB-Colombia/logos/main/socio-SiB-fnc.png	Empresas	fe602f47-b553-4291-b6e5-197b9837e167	http://www.gbif.org/publisher/fe602f47-b553-4291-b6e5-197b9837e167
2191	c9b7a0c1-2a52-437f-b1ed-e4a5bbfd04bb	127	https://www.gbif.org/resource/search?contentType=literature&publishingOrganizationKey=30ff48bd-4dd1-429d-a5a5-348c8e5fbfb1		0.0	1	464.0	sib	464.0	unimagbocachico	Registros biologicos	Universidad del Magdalena	Bocachico Prochilodus magdalenae (Characiformes: Prochilodontidae) en la cuenca media y baja del río Magdalena	http://doi.org/10.15472/s3yyz5	2013-03-08	2013	03	08	2021-01-26	2021	01	26	5.2	UniMagdalena	https://raw.githubusercontent.com/SIB-Colombia/logos/main/socio-SiB-unimagdalena.png	Academia	30ff48bd-4dd1-429d-a5a5-348c8e5fbfb1	http://www.gbif.org/publisher/30ff48bd-4dd1-429d-a5a5-348c8e5fbfb1
2192	1c00952b-574b-4307-9b07-6ae9ef4dd44d	266	https://www.gbif.org/resource/search?contentType=literature&publishingOrganizationKey=fe602f47-b553-4291-b6e5-197b9837e167		0.0	1	5771.0	sib	5771.0	fnc_plantas_biodiversidad_sector_cafetero_2	Registros biologicos	Federación Nacional de Cafeteros de Colombia	"Segunda caracterización biológica de plantas del proyecto ""Incorporación de la Biodiversidad en el sector cafetero en Colombia"""	http://doi.org/10.15472/c2qt00	2013-03-07	2013	03	07	2022-01-19	2022	01	19	5.3	Cafeteros de Colombia	https://raw.githubusercontent.com/SIB-Colombia/logos/main/socio-SiB-fnc.png	Empresas	fe602f47-b553-4291-b6e5-197b9837e167	http://www.gbif.org/publisher/fe602f47-b553-4291-b6e5-197b9837e167
2193	219f6374-2c55-4901-a2f9-ad8aabf8902c	266	https://www.gbif.org/resource/search?contentType=literature&publishingOrganizationKey=fe602f47-b553-4291-b6e5-197b9837e167		0.0	1	198.0	sib	198.0	fnc_hormigas_biodiversidad_sector_cafetero_2	Registros biologicos	Federación Nacional de Cafeteros de Colombia	"Segunda caracterización biológica de hormigas cazadoras del proyecto ""Incorporación de la Biodiversidad en el sector cafetero en Colombia"""	http://doi.org/10.15472/gxn3gt	2013-03-07	2013	03	07	2022-01-19	2022	01	19	7.3	Cafeteros de Colombia	https://raw.githubusercontent.com/SIB-Colombia/logos/main/socio-SiB-fnc.png	Empresas	fe602f47-b553-4291-b6e5-197b9837e167	http://www.gbif.org/publisher/fe602f47-b553-4291-b6e5-197b9837e167
2194	9b73f44e-bbe1-4fd1-a7a9-c96c38dcf884	546	https://www.gbif.org/resource/search?contentType=literature&publishingOrganizationKey=9d77fdeb-100f-4b29-98ad-4effdd824457	Actualizacion	0.0	1	112415.0	sinchi	112415.0	coah_sinchi	Registros biologicos	Instituto Amazónico de Investigaciones Científicas - SINCHI	Herbario Amazónico Colombiano	http://doi.org/10.15472/l7odt1	2013-03-07	2013	03	07	2022-09-07	2022	09	07	9.13	Sinchi	https://raw.githubusercontent.com/SIB-Colombia/logos/main/socio-SiB-sinchi.png	Centros/Institutos de Investigación	9d77fdeb-100f-4b29-98ad-4effdd824457	http://www.gbif.org/publisher/9d77fdeb-100f-4b29-98ad-4effdd824457
2195	61713fd3-9378-4b69-b3a7-7b4186428502	374	https://www.gbif.org/resource/search?contentType=literature&publishingOrganizationKey=e1050db2-9faf-4d72-b860-295debaf9d2a		0.0	1	52.0	iiap	52.0	flora_paramo_duende	Registros biologicos	Instituto de Investigaciones Ambientales del Pacífico John Von Neumann - IIAP	Caracterización vegetal de una zona de alta montaña (litoral de San Juan) como herramienta de proyección para el establecimiento de una figura de conservación en el chocó biogeográfico	http://doi.org/10.15472/vvokvd	2013-03-05	2013	03	05	2018-12-26	2018	12	26	7.2	IIAP	https://raw.githubusercontent.com/SIB-Colombia/logos/main/socio-SiB-iiap.png	Centros/Institutos de Investigación	e1050db2-9faf-4d72-b860-295debaf9d2a	http://www.gbif.org/publisher/e1050db2-9faf-4d72-b860-295debaf9d2a
2196	c815455a-2eeb-47a2-bd0e-42bf195cd171	0	https://www.gbif.org/resource/search?contentType=literature&publishingOrganizationKey=38c1ea4f-4ce4-4dbb-8d01-7e0149f16bcd			1		sib		plantastenasuca	Listas de especies	Asociación Red Colombiana de Reservas Naturales de la Sociedad Civil - Resnatur	Lista de especies de plantas Reserva Natural Tenasucá de Pedro Palo	http://doi.org/10.15472/cspfyx	2013-02-15	2013	02	15	2019-06-06	2019	06	06	6.4	RESNATUR	https://raw.githubusercontent.com/SIB-Colombia/logos/main/socio-SiB-resnatur.png	Redes/Iniciativas	38c1ea4f-4ce4-4dbb-8d01-7e0149f16bcd	http://www.gbif.org/publisher/38c1ea4f-4ce4-4dbb-8d01-7e0149f16bcd
2197	11f5ca15-8de9-4499-9fd2-368b62ea45cb	0	https://www.gbif.org/resource/search?contentType=literature&publishingOrganizationKey=38c1ea4f-4ce4-4dbb-8d01-7e0149f16bcd			1		sib		animalestenasuca	Listas de especies	Asociación Red Colombiana de Reservas Naturales de la Sociedad Civil - Resnatur	Lista de especies de animales Reserva Natural Tenasucá de Pedro Palo	http://doi.org/10.15472/p9qiip	2013-02-15	2013	02	15	2019-06-06	2019	06	06	4.4	RESNATUR	https://raw.githubusercontent.com/SIB-Colombia/logos/main/socio-SiB-resnatur.png	Redes/Iniciativas	38c1ea4f-4ce4-4dbb-8d01-7e0149f16bcd	http://www.gbif.org/publisher/38c1ea4f-4ce4-4dbb-8d01-7e0149f16bcd
2198	d0ae33bb-1c77-453c-9141-9dc1acff4c2c	490	https://www.gbif.org/resource/search?contentType=literature&publishingOrganizationKey=85be57ed-f187-49c9-b7ff-eaa622e06217		0.0	1	4810.0	sib	4810.0	entomofaunagorgona	Registros biologicos	Universidad del Valle	Colección de artrópodos del PNN Gorgona - Museo de Entomología de la Universidad del Valle (MUSENUV)	http://doi.org/10.15472/ycwuxd	2013-02-11	2013	02	11	2022-01-21	2022	01	21	9.2	UniValle	https://raw.githubusercontent.com/SIB-Colombia/logos/main/socio-SiB-univalle.png	Academia	85be57ed-f187-49c9-b7ff-eaa622e06217	http://www.gbif.org/publisher/85be57ed-f187-49c9-b7ff-eaa622e06217
2199	aca3452a-0a90-431a-936c-8240ae367911	490	https://www.gbif.org/resource/search?contentType=literature&publishingOrganizationKey=85be57ed-f187-49c9-b7ff-eaa622e06217		0.0	1	6663.0	sib	6663.0	herpetosgorgona	Registros biologicos	Universidad del Valle	Colección de anfibios y reptiles, Universidad del Valle (Colección UV-C)	http://doi.org/10.15472/4nryow	2013-02-11	2013	02	11	2021-04-05	2021	04	05	14.2	UniValle	https://raw.githubusercontent.com/SIB-Colombia/logos/main/socio-SiB-univalle.png	Academia	85be57ed-f187-49c9-b7ff-eaa622e06217	http://www.gbif.org/publisher/85be57ed-f187-49c9-b7ff-eaa622e06217
2200	33d52667-27bd-45fd-b710-2854751aac72	301	https://www.gbif.org/resource/search?contentType=literature&publishingOrganizationKey=77c64839-4c99-4a40-beb3-cd16afc23540		0.0	1	372.0	sib	372.0	diversificacion_anfibios_patogeno_humedales_magdalena	Registros biologicos	Universidad de los Andes	El efecto de la variación ambiental en la diversificación de anfibios y la prevalencia de su patógeno mortal: Un transecto por los humedales desde el Magdalena Medio hasta la Orinoquía	http://doi.org/10.15472/1vb1bq	2013-02-07	2013	02	07	2021-03-17	2021	03	17	4.6	UniAndes	https://raw.githubusercontent.com/SIB-Colombia/logos/main/socio-SiB-uniandes.png	Academia	77c64839-4c99-4a40-beb3-cd16afc23540	http://www.gbif.org/publisher/77c64839-4c99-4a40-beb3-cd16afc23540
